date_monthly,smwg1st_high_wfh,smwg1st_no_wfh,smwg2nd_high_wfh,smwg2nd_no_wfh,smwg3rd_high_wfh,smwg3rd_no_wfh,smwg4th_high_wfh,smwg4th_no_wfh
2016m1,3.0910408,3.6825476,3.5217953,3.0087965,3.2241046,2.4658756,3.4553485,2.6846912
2016m2,3.2162852,3.8450115,3.59322,2.9644959,3.12444,2.7381675,3.422884,2.7366221
2016m3,3.0493736,3.8594916,3.5301476,3.0986719,2.9253285,2.8040504,3.3448207,2.6390715
2016m4,2.9577072,4.0015984,3.4675713,3.1001508,2.8358839,2.854223,3.3103902,2.6013436
2016m5,2.9577072,4.074379,3.6292264,3.1982126,2.9462981,2.8057969,3.3614404,2.6198936
2016m6,3.2091365,4.1537175,3.5583448,3.2811599,2.9458382,2.9850402,3.428869,2.2470593
2016m7,3.3951242,3.9504886,3.5114999,3.2863829,2.9114201,2.967648,3.5753524,2.2097831
2016m8,3.6366584,3.9629047,3.4167368,3.3719521,3.1220193,2.9138706,3.6581321,2.3838196
2016m9,3.8145952,4.161891,3.6687796,3.5143642,3.3393908,3.0107396,3.5292931,2.4007013
2016m10,4.3339181,4.1952357,3.7306907,3.5452886,3.6357484,2.9549961,3.5375686,2.4570534
2016m11,4.272429,4.2159185,3.7835586,3.6067631,3.6175432,2.9919305,3.4876626,2.4163034
2016m12,4.2734928,4.2781849,3.7587154,3.4989724,3.6665759,2.9391823,3.443305,2.5549228
2017m1,4.4056363,4.284718,3.7848895,3.4729455,3.5542145,2.8286622,3.5000429,2.5965259
2017m2,4.3790116,4.1746507,3.7078137,3.4398229,3.6841381,2.7717748,3.5956137,2.5571148
2017m3,4.5659385,4.207654,3.7281394,3.3737793,3.756813,2.6890695,3.7496495,2.6770015
2017m4,4.6359787,4.1517253,3.8966119,3.2267864,3.9412432,2.6197085,3.7362905,2.6877177
2017m5,4.4730344,4.1259651,3.734977,3.2570415,3.8795993,2.6780493,3.6400023,2.7882082
2017m6,4.3314095,3.9085479,3.8049595,3.1634583,3.9169776,2.498806,3.7688901,2.9227896
2017m7,3.9625185,4.1555133,3.8814244,3.0498164,3.9011586,2.6950078,3.7680092,2.8684599
2017m8,4.3558316,4.1423292,3.7253087,3.0006657,3.9334407,2.802067,3.7202103,2.7677794
2017m9,4.3860054,4.041492,3.3820057,2.8040433,3.9382467,2.8923392,3.7452607,2.7759414
2017m10,3.8790212,3.9562156,3.3727798,2.83073,3.7610109,2.8798354,3.6319392,2.7331476
2017m11,3.6190622,3.9858599,3.3199127,2.9709995,3.6277907,2.724674,3.6035438,2.7716675
2017m12,3.880579,3.8240428,3.2994945,3.0330377,3.4728808,2.7315784,3.6612113,2.7433629
2018m1,3.7888036,3.8649418,3.2666192,2.9688361,3.7660532,2.766686,3.6030855,2.7190011
2018m2,3.7821319,3.9130466,3.2488916,3.087235,3.5828404,2.643858,3.4961905,2.6756663
2018m3,3.7612724,3.9528239,3.3547735,3.1312034,3.6087091,2.6800165,3.5250101,2.6567497
2018m4,3.6349337,4.0087523,3.28373,3.210017,3.4524653,2.5763826,3.4596412,2.5506048
2018m5,3.7174938,3.9617321,3.2254395,3.0954118,3.4064126,2.4699225,3.440223,2.4800048
2018m6,3.8214138,4.1751866,3.2262907,2.9713404,3.4043653,2.7983155,3.3784466,2.4155879
2018m7,4.1463294,4.0427966,3.3279476,3.0035138,3.4655814,2.7252145,3.2060795,2.4440551
2018m8,4.0000749,4.0862288,3.4056282,2.9973435,3.475821,2.6539338,3.1319613,2.4444182
2018m9,4.2184887,4.1337128,3.4648843,2.9875083,3.2182279,2.6259463,3.1573358,2.4258687
2018m10,4.2609091,4.3258643,3.5317805,2.9377298,3.1915236,2.6614945,3.3012664,2.459754
2018m11,4.4463296,4.3013611,3.5624673,2.8194864,3.5238767,2.7808905,3.4404135,2.5652978
2018m12,4.321908,4.4765224,3.6309154,2.8635528,3.6789465,3.0059714,3.3257174,2.554831
2019m1,4.7850947,4.579648,3.6056542,2.8970881,3.5685344,3.0171125,3.3930969,2.5400302
2019m2,4.7492342,4.582129,3.6339042,2.7495921,3.6666534,3.0986123,3.4368725,2.5404115
2019m3,4.6694884,4.4835434,3.5458333,2.8223755,3.6799567,3.1708939,3.3698835,2.4463265
2019m4,4.8917241,4.4690375,3.3733957,2.9826369,3.7503326,3.29375,3.3669147,2.5908868
2019m5,4.8990312,4.465745,3.5453212,3.0779252,3.6937437,3.4438331,3.52824,2.6287119
2019m6,5.0348206,4.53303,3.5823967,3.1828175,3.7692499,3.4675887,3.3724778,2.6788933
2019m7,4.8745594,4.5168295,3.4002552,3.3019552,3.9031873,3.4955194,3.5284395,2.7433569
2019m8,4.780015,4.448493,3.5629332,3.3545825,3.810797,3.4561827,3.5179601,2.7041903
2019m9,4.5796866,4.5626497,3.581815,3.5059557,3.9567647,3.4609017,3.4713192,2.7376158
2019m10,4.6176639,4.4691186,3.4526134,3.5263007,4.0885701,3.5438337,3.4193714,2.535851
2019m11,4.622869,4.6516619,3.5612354,3.538013,3.9162488,3.412364,3.3340933,2.4315176
2019m12,4.5057702,4.7180634,3.4839249,3.5079305,3.8869991,3.1975839,3.4624748,2.4487901
2020m1,4.7487421,4.618504,3.4617088,3.5946054,3.8870437,3.0391219,3.5211306,2.499229
2020m2,4.7913232,4.5979199,3.6253967,3.8301969,3.9286189,2.9943016,3.4273863,2.4866703
2020m3,4.7454095,4.5513463,3.7075496,3.6290841,3.7645996,2.7582867,3.4497242,2.7414067
2020m4,4.7559094,4.5211282,3.8163326,3.5632505,3.7707739,2.8008993,3.4105263,2.6314268
2020m5,4.7028017,4.5636287,3.794591,3.7121241,4.0481191,2.7983768,3.4225397,2.7145076
2020m6,4.3759913,4.4130845,3.7660868,3.8269725,4.1561828,2.6145175,3.7370727,2.6348047
2020m7,4.4029164,4.3148665,3.6561835,3.8982375,4.1100965,2.6681447,3.9718218,2.5195098
2020m8,4.2939935,4.3240705,3.576416,3.8380167,4.1450286,2.728369,3.9176972,2.5516102
2020m9,4.0598693,4.1557579,3.5615582,3.7985022,4.138309,2.74511,3.9448709,2.710578
2020m10,3.8397877,4.2430186,3.6767337,3.8398108,4.0411167,2.6650622,3.8915594,3.0207171
2020m11,3.7143629,4.1582141,3.8206277,3.8057458,3.8725016,2.7551506,3.878958,3.113683
2020m12,3.6874828,4.1940036,3.8074918,3.830795,3.7620258,2.8442845,3.7702656,2.9870334
2021m1,3.2247503,4.1873312,3.824203,3.9031267,3.7619905,3.0078001,3.648412,3.0101295
2021m2,3.4408994,4.2960625,3.6364555,3.7870646,3.6524568,3.1379619,3.7288463,3.0339506
2021m3,3.433049,4.3225608,3.6453683,3.916605,3.8015103,3.195611,3.4397149,2.8600447
2021m4,3.2014771,4.4419274,3.6125097,3.655575,3.7832997,3.1555226,3.3366182,3.0272644
2021m5,3.3316796,4.4418297,3.4688613,3.475688,3.5694008,3.0865669,3.2562516,2.7569098
2021m6,3.5963438,4.5543051,3.3901372,3.3291538,3.4017019,3.2269549,3.0225122,2.9839249
2021m7,3.7617931,4.898623,3.9466333,3.2930002,3.5856993,3.0383742,2.7350669,2.9784651
2021m8,3.6658804,5.1536145,4.257412,3.2877779,3.5936573,2.9092081,2.8373702,2.9114919
2021m9,3.7639887,5.357924,4.7546902,3.4256353,3.5422504,2.9396658,2.7329431,2.8047707
2021m10,4.3400273,5.4001813,4.9663358,3.452682,3.5351355,2.8282347,2.8871217,2.6958139
2021m11,4.3247571,5.5103416,4.7181621,3.6547942,3.7084463,2.8204591,2.8480146,2.7169914
2021m12,4.8986697,5.7349892,5.1445627,3.765419,3.8661087,2.8343868,2.9297271,2.8214512
2022m1,5.0927501,6.2861538,5.693778,3.7748857,3.9019248,3.200552,3.0727968,2.976615
2022m2,5.0927501,6.5176063,5.913095,3.9513385,4.2594657,3.2844546,3.2653883,3.0923917
2022m3,5.3946157,6.9215078,6.3334742,4.3649082,4.2727814,3.4628205,3.3611102,3.4271121
2022m4,5.4662004,7.1605778,6.7107759,4.7716627,4.3459439,3.7316017,3.5294008,3.5680046
2022m5,5.6305385,7.6448078,7.2010212,5.0893431,4.4423914,3.8269491,3.7308636,4.0731907
2022m6,5.536335,8.2789564,7.5855479,5.587213,4.7474952,4.2131186,3.7302849,4.2563486
2022m7,6.2502713,8.3284121,7.4571681,5.8937922,4.7621217,4.3836064,3.76965,4.3691492
2022m8,6.3036809,8.3370628,7.2456555,6.4294262,5.0243344,4.8219829,4.1112881,4.4195948
2022m9,6.8251796,8.3044472,6.8695035,6.4670138,5.556088,4.9698911,4.3684955,4.4507275
2022m10,6.7085357,8.3725672,6.8912158,6.5780177,5.7422867,5.3335257,4.4277301,4.6755657
2022m11,7.4327216,8.1505575,7.4246945,6.8855553,5.8695078,5.4924994,4.7354379,4.9705582
2022m12,7.2381396,8.0323191,7.1565809,6.9994879,5.9183993,5.5258069,4.897974,5.161777
2023m1,7.1346188,7.810822,7.0874243,7.0978765,6.1963592,5.4349895,4.9324861,5.1098795
2023m2,7.2195802,7.7613659,7.4059343,7.3476458,5.9421268,5.5637932,5.0305872,5.2240272
2023m3,7.1928554,7.6441727,7.1236544,7.0678821,6.3104701,5.5014906,5.598062,5.320219
2023m4,7.2649183,7.3340187,6.9944153,7.0363951,6.3960361,5.4325771,5.8336987,5.255178
2023m5,7.497992,6.9323344,7.0257082,6.8940077,6.7355461,5.7337627,5.9473805,5.337575
2023m6,7.5758877,6.2759967,6.7632899,6.6702032,6.5384007,5.3762808,6.1208467,5.2933292
2023m7,6.9492202,6.1467948,6.8888321,6.4492426,6.311645,5.5369029,6.0096283,5.5942159
2023m8,7.2444191,5.8115835,6.9219217,6.2404356,6.528554,5.2966938,5.8621082,5.7634301
2023m9,6.7967758,5.8122368,6.9256401,6.1124744,6.3092217,5.1871152,5.9560461,5.6306705
2023m10,6.8693752,5.758677,6.6929731,6.1118479,6.4240961,4.9771996,5.7814651,5.7280264
2023m11,6.1620069,6.0327096,6.1170144,5.7011728,6.3632731,4.8965263,5.626451,5.4598346
2023m12,6.1255407,5.8241959,6.4107823,5.6338234,6.6655135,4.8310418,5.6511564,5.4595914
2024m1,6.0511599,5.6440086,6.0403514,5.5794106,6.3875542,4.6311564,5.6530972,5.5734358
2024m2,5.5732369,5.3666258,5.8252974,5.2609005,6.6071444,4.4591675,5.515306,5.2547483
2024m3,5.6527934,5.0928917,5.7074151,5.2400413,6.3380885,4.7562165,4.9316587,4.8870978
2024m4,5.8011703,5.2567229,5.6316462,5.1699362,6.426456,4.7731462,4.9779077,4.6926718
2024m5,5.5177236,5.1423187,5.3483367,5.1991692,5.9932523,4.5739927,4.8056135,4.2712069
2024m6,5.3146663,5.1338773,5.3399286,4.9980435,6.0537386,4.7543926,4.5422997,3.927346
2024m7,5.0657334,4.8308134,5.1788926,4.9043698,6.2613916,4.5582361,4.8152189,3.7369769
2024m8,4.9514694,4.9312677,4.9963222,4.7621861,5.7840247,4.7741418,4.997992,3.6352346
2024m9,4.9482942,4.9017291,5.0385294,4.7621861,5.5714812,4.8434429,5.0958943,3.751266
2024m10,4.5324354,4.6081266,5.1409311,4.6040535,5.3710914,4.8704362,5.4081836,3.6586175
2024m11,4.7330112,4.320704,5.1255641,4.6356788,5.179595,4.7982416,5.3666735,3.6395059
2024m12,4.6944041,4.1968961,4.8456621,4.6364956,4.7182846,5.0813298,5.3487329,3.4437609
