date_monthly,smwg1st_Job_Stayer,smwg1st_Job_Switcher,smwg2nd_Job_Stayer,smwg2nd_Job_Switcher,smwg3rd_Job_Stayer,smwg3rd_Job_Switcher,smwg4th_Job_Stayer,smwg4th_Job_Switcher
2016m1,2.606729,4.4461513,3.1393418,3.4968669,2.8387332,3.0523126,2.9950655,3.3048108
2016m2,2.6066651,4.8605709,3.1327713,3.4968669,2.8761902,3.2927306,2.8863435,3.5270216
2016m3,2.6398511,4.6886921,3.1699162,3.5760672,2.7918234,3.2990606,2.8190024,3.4461439
2016m4,2.7153456,4.8652124,3.1664608,3.5730085,2.7782092,3.1812358,2.8189898,3.3218157
2016m5,2.8332934,4.7409239,3.296823,3.7164388,2.7232537,3.46241,2.7919037,3.4496827
2016m6,2.8783507,4.8311834,3.1739776,3.9110861,2.9239621,3.3199501,2.7620015,3.3990421
2016m7,2.6845913,4.9101729,3.1963081,3.8924091,2.8668332,3.3394725,2.8408689,3.445117
2016m8,2.808614,5.1008973,3.1722851,4.1621895,2.957624,3.2927921,2.8456151,3.7571845
2016m9,3.0167029,5.3343225,3.3230224,4.2334828,3.1255009,3.3692667,2.7801421,3.6142361
2016m10,3.2871189,5.3513145,3.3577101,4.2448106,3.3229051,3.2868133,2.8151062,3.5807955
2016m11,3.2375991,5.4280548,3.3231919,4.3943844,3.325706,3.2940533,2.8529308,3.4719839
2016m12,3.2794147,5.6091504,3.2778873,4.3008027,3.2589693,3.4587131,2.8868592,3.4874439
2017m1,3.3307343,5.6432476,3.3120825,4.0817719,3.1358428,3.4260213,2.9989846,3.4257998
2017m2,3.3305135,5.3638916,3.2402508,4.0817909,3.1414223,3.5181861,3.0722761,3.263896
2017m3,3.4029696,5.502562,3.2031753,4.0254526,3.0737579,3.6590846,3.1708236,3.4843411
2017m4,3.2685616,5.5268545,3.1266778,3.9022131,3.0254922,3.9318392,3.2110295,3.4615574
2017m5,3.2163219,5.3771553,3.0683203,3.7997842,3.0698116,3.7274511,3.1581168,3.4189994
2017m6,3.0307133,5.2843356,3.09883,3.7607207,3.024524,3.689029,3.2161329,3.5665634
2017m7,3.2288845,5.2803283,3.0577118,3.7686703,3.1436253,3.7893176,3.1074502,3.6970582
2017m8,3.1437054,5.3904796,3.017632,3.5949371,3.1238074,3.9910777,3.0515242,3.5571721
2017m9,3.0709243,5.249136,2.8966138,3.2235346,3.1271076,4.1531444,3.0515242,3.6782472
2017m10,2.9102921,5.1925845,2.9861753,3.1779137,3.1010065,3.9725921,2.9830735,3.6288314
2017m11,2.864332,5.1872149,2.9983907,3.2844448,2.9650826,3.8394256,2.9207854,3.6187174
2017m12,2.8096657,5.0127745,2.8786576,3.47997,2.9543998,3.5863895,2.8957963,3.7745466
2018m1,2.8492093,5.0127745,2.8168259,3.5804892,3.0219884,3.8012936,2.8098214,3.8132164
2018m2,2.8394673,5.031692,2.8773599,3.5939181,2.8366938,3.6611998,2.6991177,3.8699491
2018m3,2.9131153,4.9233813,2.8886137,3.7522123,2.9203129,3.5214381,2.7446313,3.7574532
2018m4,2.9008112,5.0006237,2.9748747,3.7369573,2.8029926,3.3293805,2.5902848,3.7469454
2018m5,2.895381,5.1260877,2.9342589,3.6187849,2.6836672,3.3584409,2.6139929,3.7408381
2018m6,3.200954,5.322526,2.8941441,3.3311787,2.7571254,3.6301692,2.6038857,3.6972234
2018m7,3.1820362,5.2294669,2.8987448,3.3088238,2.7620645,3.5668218,2.627147,3.3374555
2018m8,3.3626256,5.0799861,3.0978642,3.141387,2.7043858,3.5390418,2.6363888,3.2379065
2018m9,3.5126803,5.0610681,3.0777285,3.2313778,2.6773098,3.2070279,2.6905518,3.1502886
2018m10,3.7015603,5.0052247,2.9898546,3.2935259,2.5401917,3.3530612,2.8342957,3.1887684
2018m11,3.8042655,4.8979545,2.9554138,3.2931197,2.7811003,3.449327,2.8342957,3.5819893
2018m12,3.8928761,5.0567307,3.0208817,3.4297209,2.9286201,3.6759315,2.8188493,3.3905189
2019m1,4.0351114,5.2250867,3.0172832,3.4088614,2.9751885,3.5156703,2.8276634,3.416292
2019m2,4.0458279,5.4855247,3.0232017,3.2891893,3.1220083,3.5686107,2.9689453,3.182888
2019m3,3.9505889,5.3761139,3.0119479,3.2331016,3.1903827,3.6963854,2.8836637,3.082612
2019m4,4.1447878,5.2482128,2.9554856,3.4630985,3.3275909,3.8025663,2.9640882,3.1560214
2019m5,4.0732565,5.4085841,3.035429,3.6404862,3.481328,3.6794457,3.0118818,3.4889174
2019m6,4.0941157,5.5306559,3.1077547,3.7503278,3.6021214,3.602901,2.924233,3.3920553
2019m7,3.9187026,5.5783863,3.1763856,3.789741,3.5974846,3.7122464,2.9729865,3.7322257
2019m8,3.7263401,5.7764587,3.049453,4.1733413,3.521553,3.6778541,2.960645,3.7265458
2019m9,3.6852198,5.8393521,3.0536952,4.3736677,3.5215733,3.8522885,2.9320242,3.7259936
2019m10,3.6436286,5.8101883,3.0246143,4.3159971,3.7338011,3.8522518,2.742353,3.8488235
2019m11,3.8033459,5.8597121,3.0156295,4.4036794,3.5672379,3.8144369,2.6802118,3.6002085
2019m12,3.6819181,6.0896115,3.0416167,4.1848617,3.4350271,3.7483177,2.8155508,3.5676787
2020m1,3.6976087,6.1730223,3.0565135,4.2057209,3.3210242,3.7545285,2.8688872,3.7054572
2020m2,3.6904275,5.8606629,3.1534398,4.4892564,3.3015325,3.719152,2.8008122,3.6854875
2020m3,3.5151079,5.906198,3.170783,4.3981576,3.0797951,3.5609865,2.8637056,3.8101351
2020m4,3.6017692,5.977716,3.1574667,4.2620096,3.09093,3.5676157,2.706003,3.7596145
2020m5,3.6371846,5.8251562,3.1307585,4.3768058,3.0909746,3.854135,2.8586187,3.505486
2020m6,3.512804,5.4877281,3.0780566,4.4488378,3.031198,3.8355911,2.9346924,3.6591485
2020m7,3.6036143,5.3783293,2.9966662,4.4238625,3.173964,3.7359095,2.9104228,3.6035061
2020m8,3.6246407,5.2395444,2.9120421,4.2209373,3.2643592,3.8126013,2.9768691,3.6293099
2020m9,3.4718828,5.5140791,2.9731729,4.0578823,3.2949734,3.8361967,2.9700303,3.598424
2020m10,3.4595463,5.6383038,3.0679018,4.1019769,3.0945249,3.8362188,3.1318538,3.4355984
2020m11,3.3067911,5.6991315,3.1049669,4.0133238,2.9696078,3.8831837,3.1921928,3.5147219
2020m12,3.4819427,5.5403967,3.1045496,4.0031328,2.9231911,3.9202647,3.0624051,3.4723694
2021m1,3.3679919,5.2833371,3.151197,4.0348268,3.0440526,3.9830079,2.9730067,3.3911629
2021m2,3.5784352,5.5036144,3.1025805,3.8258295,2.9965494,4.1820564,2.8715034,3.4564719
2021m3,3.7643912,5.4064798,3.0803828,3.9327083,3.1582196,4.101913,2.6796143,3.2292004
2021m4,3.6235163,5.2450619,2.9635897,3.9287972,3.0306287,4.0570889,2.8861928,3.2314837
2021m5,3.7091684,5.1628642,3.0023398,3.7194602,2.8765247,3.8090611,2.705642,3.1648264
2021m6,3.8824248,5.3501382,2.9943016,3.5907598,2.8213937,3.7679827,2.7894039,3.0786133
2021m7,4.249588,5.4664364,3.1310704,4.0356197,2.5815284,3.853184,2.6445796,3.1817367
2021m8,4.3404198,5.6370101,3.1209545,4.2006416,2.4941332,3.8778288,2.6466711,3.0634532
2021m9,4.6035547,5.3872876,3.2799542,4.5091476,2.4229331,4.1241989,2.6085086,2.953913
2021m10,4.7239332,5.4661222,3.3102021,4.6577401,2.4624858,4.2037773,2.5913026,2.9380236
2021m11,4.6982589,5.5736508,3.4214804,4.7090855,2.545419,4.2315283,2.6064446,2.7816308
2021m12,4.9475989,5.8399138,3.5835121,5.0531969,2.6484356,4.2983127,2.8202803,2.8240314
2022m1,5.3696299,6.2486267,3.7186344,5.2116022,2.841233,4.359024,3.0027726,2.9135273
2022m2,5.4530602,6.5516901,3.8237481,5.7018461,3.2309527,4.2891774,3.2598321,3.1618748
2022m3,5.6501966,7.2643752,4.1957879,6.0565095,3.3153009,4.4733429,3.3796802,3.4038439
2022m4,5.9232721,7.5830412,4.6127758,6.5843687,3.5485904,4.8104019,3.5210667,3.4969542
2022m5,6.1661634,7.9977422,4.8999124,7.2205381,3.730474,5.0584297,3.702986,3.6855845
2022m6,6.3122673,8.5355635,5.4273624,7.6932888,4.016736,5.432724,3.7113335,3.8030288
2022m7,6.1259937,9.3096609,5.6138253,7.5962005,4.1807704,5.432724,3.8441796,3.8260152
2022m8,6.1426439,9.3705273,5.8399415,8.067605,4.3872828,5.6192503,4.0060511,4.2206225
2022m9,6.1635036,9.5083284,5.8657017,8.0829849,4.7918515,5.7047544,4.1434855,4.5983272
2022m10,6.1767039,9.6116934,5.9464569,8.4312658,4.9864531,5.9158444,4.3225446,4.9096065
2022m11,6.3802352,9.4598389,6.0296392,8.9897137,5.1764112,6.2510238,4.4167881,5.6986585
2022m12,6.3802352,9.2815361,6.0599833,8.8652382,5.2387223,6.4204245,4.4759026,5.8887591
2023m1,6.2115211,9.0464716,6.2233644,8.7855158,5.2602582,6.6193552,4.5564709,5.8991675
2023m2,6.2153521,8.7441359,6.4853773,8.8118076,5.1153269,6.8259535,4.5867801,5.9487724
2023m3,6.2366648,8.421011,6.4450316,8.4932976,5.2044621,7.0672913,4.856389,6.3544264
2023m4,6.1353412,8.1738358,6.3046675,8.1850071,5.2164617,6.861465,4.8679428,6.4749846
2023m5,6.0270038,8.0429955,6.1811342,7.8021498,5.3996553,7.0728292,5.0784755,6.5723429
2023m6,5.8017058,7.5574183,5.8101587,7.5319428,5.3060722,6.7845883,5.2297211,6.5136657
2023m7,5.8555737,6.8049264,5.6376305,7.5771098,5.4342976,6.7502699,5.2993803,6.5586233
2023m8,5.7719884,6.6356487,5.8023434,7.1271915,5.6037889,6.5369167,5.1997437,6.4981179
2023m9,5.6367793,6.4730344,5.6247616,7.1334844,5.5138793,6.3397441,5.2441888,6.409822
2023m10,5.6521378,6.4989157,5.5359511,6.7747655,5.4801731,6.2125149,5.1192093,6.302845
2023m11,5.8004928,6.3798146,5.3452516,6.3799782,5.4639015,6.1181636,5.1536651,5.6055799
2023m12,5.5550995,6.3708444,5.3588834,6.3903713,5.674839,5.893856,5.0443606,5.7594194
2024m1,5.2551494,6.333725,5.0911269,6.3031106,5.5241032,5.6457758,4.9614444,5.9599557
2024m2,5.1239028,6.0144868,4.9270883,5.9587617,5.5638623,5.5020852,4.8979993,5.726368
2024m3,5.0433259,5.851275,4.7958517,5.9691916,5.4423494,5.5494409,4.7172704,5.1908188
2024m4,5.0759416,6.05158,4.8146906,5.9532142,5.5863428,5.6770334,4.8083868,5.245502
2024m5,5.0467563,5.8374543,4.7681432,5.9300981,5.3978791,5.2759433,4.5833502,5.09763
2024m6,5.0910826,5.6377139,4.7130661,5.8708463,5.443749,5.3384576,4.3210649,5.0939569
2024m7,4.7967501,5.5862527,4.7130723,5.5777421,5.3485365,5.3189898,4.3874664,5.0685644
2024m8,4.8322849,5.4883661,4.5439153,5.504334,5.2261925,5.2738571,4.5360389,4.9968414
2024m9,4.7494731,5.4765038,4.6142411,5.3052125,5.0906763,5.2038956,4.545701,5.168684
2024m10,4.5175738,4.9915953,4.6061101,5.2947903,4.9954371,5.0803657,4.7294488,5.2104545
2024m11,4.2713361,4.9906735,4.6072116,5.0711675,4.8711801,4.6172929,4.6813574,5.2346206
2024m12,4.1767488,4.7525678,4.518002,5.1223345,4.7271328,4.5935173,4.8275323,5.0734234
